rotation_25001,rotation_25002,rotation_25003,rotation_25004,rotation_25005,min_normalized_ratio,layerA_joint_pass,reachability_joint_pass,overall_joint_pass
5,0,0,3,2,0.8174165306186695,False,False,False
5,0,0,3,3,0.7930814135649966,False,False,False
5,0,0,3,4,0.7543491435573628,False,False,False
5,0,0,3,5,0.8312291073620008,False,False,False
5,0,0,4,0,0.8174165306186695,False,False,False
5,0,0,4,1,0.8863861426529664,False,False,False
5,0,0,4,2,0.8174165306186695,False,False,False
5,0,0,4,3,0.7930814135649966,False,False,False
5,0,0,4,4,0.7119418283556976,False,False,False
5,0,0,4,5,0.8258701736498334,False,False,False
5,0,0,5,0,0.8174165306186695,False,False,False
5,0,0,5,1,0.8656432388998185,False,False,False
5,0,0,5,2,0.8174165306186695,False,False,False
5,0,0,5,3,0.7930814135649966,False,False,False
5,0,0,5,4,0.7119418283556976,False,False,False
5,0,0,5,5,0.8258701736498334,False,False,False
5,0,1,0,0,0.7317454306296416,False,False,False
5,0,1,0,1,0.7249554884953544,False,False,False
5,0,1,0,2,0.7727424859377775,False,False,False
5,0,1,0,3,0.7727424859377775,False,False,False
5,0,1,0,4,0.7727424859377775,False,False,False
5,0,1,0,5,0.7340358352876047,False,False,False
5,0,1,1,0,0.7727424859377775,False,False,False
5,0,1,1,1,0.7695119255318558,False,False,False
5,0,1,1,2,0.7727424859377775,False,False,False
5,0,1,1,3,0.7727424859377775,False,False,False
5,0,1,1,4,0.7727424859377775,False,False,False
5,0,1,1,5,0.7695119255318558,False,False,False
5,0,1,2,0,0.7727424859377775,False,False,False
5,0,1,2,1,0.7727424859377775,False,False,False
5,0,1,2,2,0.7727424859377775,False,False,False
5,0,1,2,3,0.7727424859377775,False,False,False
5,0,1,2,4,0.7727424859377775,False,False,False
5,0,1,2,5,0.7727424859377775,False,False,False
5,0,1,3,0,0.7727424859377775,False,False,False
5,0,1,3,1,0.7727424859377775,False,False,False
5,0,1,3,2,0.7727424859377775,False,False,False
5,0,1,3,3,0.7727424859377775,False,False,False
5,0,1,3,4,0.7543491435573628,False,False,False
5,0,1,3,5,0.7727424859377775,False,False,False
5,0,1,4,0,0.7727424859377775,False,False,False
5,0,1,4,1,0.7727424859377775,False,False,False
5,0,1,4,2,0.7727424859377775,False,False,False
5,0,1,4,3,0.7727424859377775,False,False,False
5,0,1,4,4,0.7119418283556976,False,False,False
5,0,1,4,5,0.7727424859377775,False,False,False
5,0,1,5,0,0.7727424859377775,False,False,False
5,0,1,5,1,0.7245377212640862,False,False,False
5,0,1,5,2,0.7727424859377775,False,False,False
5,0,1,5,3,0.7727424859377775,False,False,False
5,0,1,5,4,0.7119418283556976,False,False,False
5,0,1,5,5,0.7340358352876047,False,False,False
5,0,2,0,0,0.7317454306296416,False,False,False
5,0,2,0,1,0.8656432388998185,False,False,False
5,0,2,0,2,0.7974260780320739,False,False,False
5,0,2,0,3,0.9024889734973081,False,False,False
5,0,2,0,4,0.8566605826512761,False,False,False
5,0,2,0,5,0.8566605826512761,False,False,False
5,0,2,1,0,0.8656432388998185,False,False,False
5,0,2,1,1,0.8656432388998185,False,False,False
5,0,2,1,2,0.9098246225923496,False,False,False
5,0,2,1,3,0.9024889734973081,False,False,False
5,0,2,1,4,0.901125881208928,False,False,False
5,0,2,1,5,0.8656432388998185,False,False,False
5,0,2,2,0,0.8985131626950952,False,False,False
5,0,2,2,1,0.9066937652975675,False,False,False
5,0,2,2,2,0.9066937652975675,False,False,False
5,0,2,2,3,0.9024889734973081,False,False,False
5,0,2,2,4,0.8985131626950952,False,False,False
5,0,2,2,5,0.8985131626950952,False,False,False
5,0,2,3,0,0.8687200792910331,False,False,False
5,0,2,3,1,0.9066937652975675,False,False,False
5,0,2,3,2,0.8825249633272191,False,False,False
5,0,2,3,3,0.7930814135649966,False,False,False
5,0,2,3,4,0.7543491435573628,False,False,False
5,0,2,3,5,0.8312291073620008,False,False,False
5,0,2,4,0,0.8963624162481518,False,False,False
5,0,2,4,1,0.914877293462791,False,False,False
5,0,2,4,2,0.9098246225923496,False,False,False
5,0,2,4,3,0.7930814135649966,False,False,False
5,0,2,4,4,0.7119418283556976,False,False,False
5,0,2,4,5,0.8258701736498334,False,False,False
5,0,2,5,0,0.8656432388998185,False,False,False
5,0,2,5,1,0.8656432388998185,False,False,False
5,0,2,5,2,0.9098246225923496,False,False,False
5,0,2,5,3,0.7930814135649966,False,False,False
5,0,2,5,4,0.7119418283556976,False,False,False
5,0,2,5,5,0.8258701736498334,False,False,False
5,0,3,0,0,0.7317454306296416,False,False,False
5,0,3,0,1,0.8656432388998185,False,False,False
5,0,3,0,2,0.7974260780320739,False,False,False
5,0,3,0,3,0.9024889734973081,False,False,False
5,0,3,0,4,0.8566605826512761,False,False,False
5,0,3,0,5,0.8566605826512761,False,False,False
5,0,3,1,0,0.8656432388998185,False,False,False
5,0,3,1,1,0.8656432388998185,False,False,False
5,0,3,1,2,0.9472255180574932,False,False,False
5,0,3,1,3,0.9024889734973081,False,False,False
5,0,3,1,4,0.901125881208928,False,False,False
5,0,3,1,5,0.8656432388998185,False,False,False
5,0,3,2,0,0.8985131626950952,False,False,False
5,0,3,2,1,0.9407965865810476,False,False,False
5,0,3,2,2,0.9407965865810476,False,False,False
5,0,3,2,3,0.9024889734973081,False,False,False
5,0,3,2,4,0.8985131626950952,False,False,False
5,0,3,2,5,0.8985131626950952,False,False,False
5,0,3,3,0,0.8687200792910331,False,False,False
5,0,3,3,1,0.9472255180574932,False,False,False
5,0,3,3,2,0.8825249633272191,False,False,False
5,0,3,3,3,0.7930814135649966,False,False,False
5,0,3,3,4,0.7543491435573628,False,False,False
5,0,3,3,5,0.8312291073620008,False,False,False
5,0,3,4,0,0.8963624162481518,False,False,False
5,0,3,4,1,0.9314758013867078,False,False,False
5,0,3,4,2,0.9472255180574932,False,False,False
5,0,3,4,3,0.7930814135649966,False,False,False
5,0,3,4,4,0.7119418283556976,False,False,False
5,0,3,4,5,0.8258701736498334,False,False,False
5,0,3,5,0,0.8656432388998185,False,False,False
5,0,3,5,1,0.8656432388998185,False,False,False
5,0,3,5,2,0.9382181657523188,False,False,False
5,0,3,5,3,0.7930814135649966,False,False,False
5,0,3,5,4,0.7119418283556976,False,False,False
5,0,3,5,5,0.8258701736498334,False,False,False
5,0,4,0,0,0.7317454306296416,False,False,False
5,0,4,0,1,0.8566605826512761,False,False,False
5,0,4,0,2,0.7974260780320739,False,False,False
5,0,4,0,3,0.8077485006867414,False,False,False
5,0,4,0,4,0.8077485006867414,False,False,False
5,0,4,0,5,0.8312291073620008,False,False,False
5,0,4,1,0,0.8656432388998185,False,False,False
5,0,4,1,1,0.8656432388998185,False,False,False
5,0,4,1,2,0.8825249633272191,False,False,False
5,0,4,1,3,0.8077485006867414,False,False,False
5,0,4,1,4,0.8077485006867414,False,False,False
5,0,4,1,5,0.8312291073620008,False,False,False
5,0,4,2,0,0.8687200792910331,False,False,False
5,0,4,2,1,0.8985131626950952,False,False,False
5,0,4,2,2,0.8825249633272191,False,False,False
5,0,4,2,3,0.8077485006867414,False,False,False
5,0,4,2,4,0.8077485006867414,False,False,False
5,0,4,2,5,0.8312291073620008,False,False,False
5,0,4,3,0,0.8077485006867414,False,False,False
5,0,4,3,1,0.8077485006867414,False,False,False
5,0,4,3,2,0.8077485006867414,False,False,False
5,0,4,3,3,0.7930814135649966,False,False,False
5,0,4,3,4,0.7543491435573628,False,False,False
5,0,4,3,5,0.8077485006867414,False,False,False
5,0,4,4,0,0.8077485006867414,False,False,False
5,0,4,4,1,0.8077485006867414,False,False,False
5,0,4,4,2,0.8077485006867414,False,False,False
5,0,4,4,3,0.7930814135649966,False,False,False
5,0,4,4,4,0.7119418283556976,False,False,False
5,0,4,4,5,0.8077485006867414,False,False,False
5,0,4,5,0,0.8077485006867414,False,False,False
5,0,4,5,1,0.8077485006867414,False,False,False
5,0,4,5,2,0.8077485006867414,False,False,False
5,0,4,5,3,0.7930814135649966,False,False,False
5,0,4,5,4,0.7119418283556976,False,False,False
5,0,4,5,5,0.8077485006867414,False,False,False
5,0,5,0,0,0.7317454306296416,False,False,False
5,0,5,0,1,0.8656432388998185,False,False,False
5,0,5,0,2,0.7974260780320739,False,False,False
5,0,5,0,3,0.8427224886478651,False,False,False
5,0,5,0,4,0.8427224886478651,False,False,False
5,0,5,0,5,0.8427224886478651,False,False,False
5,0,5,1,0,0.8656432388998185,False,False,False
5,0,5,1,1,0.8656432388998185,False,False,False
5,0,5,1,2,0.9302235286873778,False,False,False
5,0,5,1,3,0.8427224886478651,False,False,False
5,0,5,1,4,0.8427224886478651,False,False,False
5,0,5,1,5,0.8427224886478651,False,False,False
5,0,5,2,0,0.8858003618378274,False,False,False
5,0,5,2,1,0.9214005992328653,False,False,False
5,0,5,2,2,0.9214005992328653,False,False,False
5,0,5,2,3,0.8427224886478651,False,False,False
5,0,5,2,4,0.8427224886478651,False,False,False
5,0,5,2,5,0.8427224886478651,False,False,False
5,0,5,3,0,0.8427224886478651,False,False,False
5,0,5,3,1,0.8427224886478651,False,False,False
5,0,5,3,2,0.8427224886478651,False,False,False
5,0,5,3,3,0.7930814135649966,False,False,False
5,0,5,3,4,0.7543491435573628,False,False,False
5,0,5,3,5,0.8312291073620008,False,False,False
5,0,5,4,0,0.8427224886478651,False,False,False
5,0,5,4,1,0.8427224886478651,False,False,False
5,0,5,4,2,0.8427224886478651,False,False,False
5,0,5,4,3,0.7930814135649966,False,False,False
5,0,5,4,4,0.7119418283556976,False,False,False
5,0,5,4,5,0.8258701736498334,False,False,False
5,0,5,5,0,0.8427224886478651,False,False,False
5,0,5,5,1,0.8427224886478651,False,False,False
5,0,5,5,2,0.8427224886478651,False,False,False
5,0,5,5,3,0.7930814135649966,False,False,False
5,0,5,5,4,0.7119418283556976,False,False,False
5,0,5,5,5,0.8258701736498334,False,False,False
5,1,0,0,0,0.8174165306186695,False,False,False
5,1,0,0,1,0.7249554884953544,False,False,False
5,1,0,0,2,0.8174165306186695,False,False,False
5,1,0,0,3,0.9024889734973081,False,False,False
5,1,0,0,4,0.8566605826512761,False,False,False
5,1,0,0,5,0.7340358352876047,False,False,False
5,1,0,1,0,0.8289833946989451,False,False,False
5,1,0,1,1,0.7695119255318558,False,False,False
5,1,0,1,2,0.9053242945685442,False,False,False
5,1,0,1,3,0.9024889734973081,False,False,False
5,1,0,1,4,0.901125881208928,False,False,False
5,1,0,1,5,0.7695119255318558,False,False,False
5,1,0,2,0,0.8863861426529664,False,False,False
5,1,0,2,1,0.8863861426529664,False,False,False
5,1,0,2,2,0.8863861426529664,False,False,False
5,1,0,2,3,0.8863861426529664,False,False,False
5,1,0,2,4,0.8863861426529664,False,False,False
5,1,0,2,5,0.8863861426529664,False,False,False
5,1,0,3,0,0.8687200792910331,False,False,False
5,1,0,3,1,0.9053242945685442,False,False,False
5,1,0,3,2,0.8825249633272191,False,False,False
5,1,0,3,3,0.7930814135649966,False,False,False
5,1,0,3,4,0.7543491435573628,False,False,False
5,1,0,3,5,0.8312291073620008,False,False,False
5,1,0,4,0,0.8863861426529664,False,False,False
5,1,0,4,1,0.8863861426529664,False,False,False
5,1,0,4,2,0.8863861426529664,False,False,False
5,1,0,4,3,0.7930814135649966,False,False,False
5,1,0,4,4,0.7119418283556976,False,False,False
5,1,0,4,5,0.8258701736498334,False,False,False
5,1,0,5,0,0.8289833946989451,False,False,False
5,1,0,5,1,0.7210030097154141,False,False,False
5,1,0,5,2,0.9053242945685442,False,False,False
5,1,0,5,3,0.7930814135649966,False,False,False
5,1,0,5,4,0.7119418283556976,False,False,False
5,1,0,5,5,0.7340358352876047,False,False,False
5,1,1,0,0,0.7249554884953544,False,False,False
5,1,1,0,1,0.7245377212640862,False,False,False
5,1,1,0,2,0.7249554884953544,False,False,False
5,1,1,0,3,0.7249554884953544,False,False,False
5,1,1,0,4,0.7249554884953544,False,False,False
5,1,1,0,5,0.7249554884953544,False,False,False
5,1,1,1,0,0.7695119255318558,False,False,False
5,1,1,1,1,0.7245377212640862,False,False,False
5,1,1,1,2,0.7695119255318558,False,False,False
5,1,1,1,3,0.7695119255318558,False,False,False
5,1,1,1,4,0.7695119255318558,False,False,False
5,1,1,1,5,0.7340358352876047,False,False,False
5,1,1,2,0,0.7731543183168704,False,False,False
5,1,1,2,1,0.7245377212640862,False,False,False
5,1,1,2,2,0.7731543183168704,False,False,False
5,1,1,2,3,0.7731543183168704,False,False,False
5,1,1,2,4,0.7731543183168704,False,False,False
5,1,1,2,5,0.7340358352876047,False,False,False
5,1,1,3,0,0.7731543183168704,False,False,False
5,1,1,3,1,0.7245377212640862,False,False,False
5,1,1,3,2,0.7731543183168704,False,False,False
5,1,1,3,3,0.7731543183168704,False,False,False
5,1,1,3,4,0.7543491435573628,False,False,False
5,1,1,3,5,0.7340358352876047,False,False,False
5,1,1,4,0,0.7731543183168704,False,False,False
5,1,1,4,1,0.7245377212640862,False,False,False
5,1,1,4,2,0.7731543183168704,False,False,False
5,1,1,4,3,0.7731543183168704,False,False,False
5,1,1,4,4,0.7119418283556976,False,False,False
5,1,1,4,5,0.7340358352876047,False,False,False
5,1,1,5,0,0.7245377212640862,False,False,False
5,1,1,5,1,0.7210030097154141,False,False,False
5,1,1,5,2,0.7245377212640862,False,False,False
5,1,1,5,3,0.7245377212640862,False,False,False
5,1,1,5,4,0.7119418283556976,False,False,False
5,1,1,5,5,0.7245377212640862,False,False,False
5,1,2,0,0,0.8289833946989451,False,False,False
5,1,2,0,1,0.7249554884953544,False,False,False
5,1,2,0,2,0.9098246225923496,False,False,False
5,1,2,0,3,0.9024889734973081,False,False,False
5,1,2,0,4,0.8566605826512761,False,False,False
5,1,2,0,5,0.7340358352876047,False,False,False
5,1,2,1,0,0.8289833946989451,False,False,False
5,1,2,1,1,0.7695119255318558,False,False,False
5,1,2,1,2,0.9098246225923496,False,False,False
5,1,2,1,3,0.9024889734973081,False,False,False
5,1,2,1,4,0.901125881208928,False,False,False
5,1,2,1,5,0.7695119255318558,False,False,False
5,1,2,2,0,0.8985131626950952,False,False,False
5,1,2,2,1,0.9066937652975675,False,False,False
5,1,2,2,2,0.9066937652975675,False,False,False
5,1,2,2,3,0.9024889734973081,False,False,False
5,1,2,2,4,0.8985131626950952,False,False,False
5,1,2,2,5,0.8985131626950952,False,False,False
5,1,2,3,0,0.8687200792910331,False,False,False
5,1,2,3,1,0.9066937652975675,False,False,False
5,1,2,3,2,0.8825249633272191,False,False,False
5,1,2,3,3,0.7930814135649966,False,False,False
5,1,2,3,4,0.7543491435573628,False,False,False
5,1,2,3,5,0.8312291073620008,False,False,False
5,1,2,4,0,0.8963624162481518,False,False,False
5,1,2,4,1,0.914877293462791,False,False,False
5,1,2,4,2,0.9098246225923496,False,False,False
5,1,2,4,3,0.7930814135649966,False,False,False
5,1,2,4,4,0.7119418283556976,False,False,False
5,1,2,4,5,0.8258701736498334,False,False,False
5,1,2,5,0,0.8289833946989451,False,False,False
5,1,2,5,1,0.7210030097154141,False,False,False
5,1,2,5,2,0.9098246225923496,False,False,False
5,1,2,5,3,0.7930814135649966,False,False,False
5,1,2,5,4,0.7119418283556976,False,False,False
5,1,2,5,5,0.7340358352876047,False,False,False
5,1,3,0,0,0.8289833946989451,False,False,False
5,1,3,0,1,0.7249554884953544,False,False,False
5,1,3,0,2,0.9273783805955632,False,False,False
5,1,3,0,3,0.9024889734973081,False,False,False
5,1,3,0,4,0.8566605826512761,False,False,False
5,1,3,0,5,0.7340358352876047,False,False,False
5,1,3,1,0,0.8289833946989451,False,False,False
5,1,3,1,1,0.7695119255318558,False,False,False
5,1,3,1,2,0.9187869897274318,False,False,False
5,1,3,1,3,0.9024889734973081,False,False,False
5,1,3,1,4,0.901125881208928,False,False,False
5,1,3,1,5,0.7695119255318558,False,False,False
5,1,3,2,0,0.8985131626950952,False,False,False
5,1,3,2,1,0.9187869897274318,False,False,False
5,1,3,2,2,0.9187869897274318,False,False,False
5,1,3,2,3,0.9024889734973081,False,False,False
5,1,3,2,4,0.8985131626950952,False,False,False
5,1,3,2,5,0.8985131626950952,False,False,False
5,1,3,3,0,0.8687200792910331,False,False,False
5,1,3,3,1,0.9187869897274318,False,False,False
5,1,3,3,2,0.8825249633272191,False,False,False
5,1,3,3,3,0.7930814135649966,False,False,False
5,1,3,3,4,0.7543491435573628,False,False,False
5,1,3,3,5,0.8312291073620008,False,False,False
5,1,3,4,0,0.8963624162481518,False,False,False
5,1,3,4,1,0.9276883819911147,False,False,False
5,1,3,4,2,0.9276883819911147,False,False,False
5,1,3,4,3,0.7930814135649966,False,False,False
5,1,3,4,4,0.7119418283556976,False,False,False
5,1,3,4,5,0.8258701736498334,False,False,False
5,1,3,5,0,0.8289833946989451,False,False,False
5,1,3,5,1,0.7210030097154141,False,False,False
5,1,3,5,2,0.9382181657523188,False,False,False
5,1,3,5,3,0.7930814135649966,False,False,False
5,1,3,5,4,0.7119418283556976,False,False,False
5,1,3,5,5,0.7340358352876047,False,False,False
5,1,4,0,0,0.8289833946989451,False,False,False
5,1,4,0,1,0.7249554884953544,False,False,False
5,1,4,0,2,0.8566605826512761,False,False,False
5,1,4,0,3,0.8077485006867414,False,False,False
5,1,4,0,4,0.8077485006867414,False,False,False
5,1,4,0,5,0.7340358352876047,False,False,False
5,1,4,1,0,0.8289833946989451,False,False,False
5,1,4,1,1,0.7695119255318558,False,False,False
5,1,4,1,2,0.8825249633272191,False,False,False
5,1,4,1,3,0.8077485006867414,False,False,False
5,1,4,1,4,0.8077485006867414,False,False,False
5,1,4,1,5,0.7695119255318558,False,False,False
5,1,4,2,0,0.8687200792910331,False,False,False
5,1,4,2,1,0.8985131626950952,False,False,False
5,1,4,2,2,0.8825249633272191,False,False,False
5,1,4,2,3,0.8077485006867414,False,False,False
5,1,4,2,4,0.8077485006867414,False,False,False
5,1,4,2,5,0.8312291073620008,False,False,False
5,1,4,3,0,0.8077485006867414,False,False,False
5,1,4,3,1,0.8077485006867414,False,False,False
5,1,4,3,2,0.8077485006867414,False,False,False
5,1,4,3,3,0.7930814135649966,False,False,False
5,1,4,3,4,0.7543491435573628,False,False,False
5,1,4,3,5,0.8077485006867414,False,False,False
5,1,4,4,0,0.8077485006867414,False,False,False
5,1,4,4,1,0.8077485006867414,False,False,False
5,1,4,4,2,0.8077485006867414,False,False,False
5,1,4,4,3,0.7930814135649966,False,False,False
5,1,4,4,4,0.7119418283556976,False,False,False
5,1,4,4,5,0.8077485006867414,False,False,False
5,1,4,5,0,0.8077485006867414,False,False,False
5,1,4,5,1,0.7210030097154141,False,False,False
5,1,4,5,2,0.8077485006867414,False,False,False
5,1,4,5,3,0.7930814135649966,False,False,False
5,1,4,5,4,0.7119418283556976,False,False,False
5,1,4,5,5,0.7340358352876047,False,False,False
5,1,5,0,0,0.8289833946989451,False,False,False
5,1,5,0,1,0.7249554884953544,False,False,False
5,1,5,0,2,0.8858003618378274,False,False,False
5,1,5,0,3,0.8427224886478651,False,False,False
5,1,5,0,4,0.8427224886478651,False,False,False
5,1,5,0,5,0.7340358352876047,False,False,False
5,1,5,1,0,0.8289833946989451,False,False,False
5,1,5,1,1,0.7695119255318558,False,False,False
5,1,5,1,2,0.9187869897274318,False,False,False
5,1,5,1,3,0.8427224886478651,False,False,False
5,1,5,1,4,0.8427224886478651,False,False,False
5,1,5,1,5,0.7695119255318558,False,False,False
5,1,5,2,0,0.8858003618378274,False,False,False
5,1,5,2,1,0.9187869897274318,False,False,False
5,1,5,2,2,0.9187869897274318,False,False,False
5,1,5,2,3,0.8427224886478651,False,False,False
5,1,5,2,4,0.8427224886478651,False,False,False
5,1,5,2,5,0.8427224886478651,False,False,False
5,1,5,3,0,0.8427224886478651,False,False,False
5,1,5,3,1,0.8427224886478651,False,False,False
5,1,5,3,2,0.8427224886478651,False,False,False
5,1,5,3,3,0.7930814135649966,False,False,False
5,1,5,3,4,0.7543491435573628,False,False,False
5,1,5,3,5,0.8312291073620008,False,False,False
5,1,5,4,0,0.8427224886478651,False,False,False
